Date,Close
30/08/2018,58.44
31/08/2018,58.48
04/09/2018,58.88
05/09/2018,57.21
06/09/2018,56.44
07/09/2018,56.86
10/09/2018,57.56
11/09/2018,58.27
12/09/2018,57.39
13/09/2018,57.82
14/09/2018,57.93
17/09/2018,57.96
18/09/2018,57.83
19/09/2018,57.9
20/09/2018,58.13
21/09/2018,59.61
24/09/2018,57.41
25/09/2018,57.1
26/09/2018,57.51
27/09/2018,58
28/09/2018,57.83
01/10/2018,56.6
02/10/2018,54.69
03/10/2018,54.32
04/10/2018,53.56
05/10/2018,52.7
08/10/2018,52.14
09/10/2018,50.86
10/10/2018,49.71
11/10/2018,51.48
12/10/2018,52.05
15/10/2018,51.84
16/10/2018,53.11
17/10/2018,54.3
18/10/2018,53.13
19/10/2018,53.39
22/10/2018,54.24
23/10/2018,53.45
24/10/2018,51.51
25/10/2018,53.71
26/10/2018,53.28
29/10/2018,53.42
30/10/2018,55.12
31/10/2018,54.73
01/11/2018,56.04
02/11/2018,56.12
05/11/2018,56.05
06/11/2018,55.47
07/11/2018,56.79
08/11/2018,56.73
09/11/2018,56.65
12/11/2018,56.7
13/11/2018,56.82
14/11/2018,56.43
15/11/2018,56.1
16/11/2018,55.9
19/11/2018,56.19
20/11/2018,55.41
21/11/2018,55.97
23/11/2018,57.16
26/11/2018,56.71
27/11/2018,58.31
28/11/2018,58.87
29/11/2018,58.86
30/11/2018,60.71
03/12/2018,60.12
04/12/2018,56.94
06/12/2018,58.08
07/12/2018,56.07
10/12/2018,56.32
11/12/2018,55.89
12/12/2018,56.27
13/12/2018,53.55
14/12/2018,53.51
17/12/2018,52.39
18/12/2018,52.95
19/12/2018,51.93
20/12/2018,50.91
21/12/2018,49.45
24/12/2018,47.96
26/12/2018,50.41
27/12/2018,50.5
28/12/2018,50.18
31/12/2018,49.9
02/01/2019,50.09
03/01/2019,45.61
04/01/2019,47.79
07/01/2019,47.85
08/01/2019,47.47
09/01/2019,48.47
10/01/2019,48.73
11/01/2019,48.56
14/01/2019,47.75
15/01/2019,47.83
16/01/2019,47.5
17/01/2019,48.22
18/01/2019,48.11
22/01/2019,47.1
